item,support
Manga,0.21100917431192662
Fubá,0.2018348623853211
Carne de Peixe,0.1926605504587156
Tangerina,0.1926605504587156
Laranja,0.1651376146788991
Salsa,0.1651376146788991
Repolho,0.1651376146788991
Limão,0.1651376146788991
Carne Bovina,0.1559633027522936
Abacaxi,0.1559633027522936
Ovos,0.1559633027522936
Aveia,0.14678899082568808
Azeite,0.14678899082568808
Carne de Frango,0.13761467889908258
Batata-doce,0.13761467889908258
Brócolis,0.13761467889908258
Pepino,0.13761467889908258
Tomate,0.13761467889908258
Ervilha,0.13761467889908258
Couve,0.13761467889908258
Sal,0.13761467889908258
Cebola,0.13761467889908258
Alface,0.12844036697247707
Abóbora,0.12844036697247707
Açúcar,0.12844036697247707
Batata,0.12844036697247707
Óleo,0.12844036697247707
Maçã,0.12844036697247707
Cenoura,0.11926605504587157
Farinha de trigo,0.11926605504587157
Espinafre,0.11926605504587157
Café,0.11926605504587157
Pêra,0.11926605504587157
Milho,0.11926605504587157
Mortadela,0.11009174311926606
Melancia,0.11009174311926606
Feijão,0.11009174311926606
Carne de Porco,0.11009174311926606
Arroz,0.11009174311926606
Lentilha,0.11009174311926606
Alho,0.10091743119266056
Bisteca,0.10091743119266056
Rúcula,0.10091743119266056
Cebolinha,0.10091743119266056
Mamão,0.10091743119266056
Beterraba,0.09174311926605505
Macarrão,0.09174311926605505
Linguiça,0.08256880733944955
Pimentão,0.08256880733944955
Mandioca,0.07339449541284404
